"airport";"year";"month";"tm_mov_naz";"p_tm_mov_naz";"tm_mov_internaz";"p_tm_mov_internaz";"tm_mov_UE";"p_tm_mov_UE";"tm_mov_tcomm";"p_tm_mov_tcomm";"tm_mov_tgenav";"p_tm_mov_tgenav";"tm_mov_tot";"p_tm_mov_tot";"tp_mov_naz";"p_tp_mov_naz";"tp_mov_internaz";"p_tp_mov_internaz";"tp_mov_UE";"p_tp_mov_UE";"tp_mov_tcomm";"p_tp_mov_tcomm";"tp_mov_tgenav";"p_tp_mov_tgenav";"tp_mov_tot";"p_tp_mov_tot";"cod3";"cod4";"rating";"nroutes";"nro"
"Napoli";2001;7;3028;-10.1483679525223;1765;-5.15851692638366;1616;-3.69487485101311;4793;-8.37316000764672;1290;-0.69284064665127;6083;-6.84532924961715;1475624;-4.63978451888659;820693;9.70027655880116;786286;12.6355145542058;74237;4.02000896760453;2370554;0.153871373333694;6492;39.6729776247849;"NAP";"LIRN";75;12482;6
"Olbia";2001;7;2157;-12.6012965964344;431;6.1576354679803;312;1.96078431372549;2588;-9.95128740431454;1818;14.8452305748579;4406;-1.14426744446937;622989;0.555567212818398;110375;12.510448308903;88645;15.5887338636067;12803;47.7041993539455;746167;2.73296645954865;7659;5.09055982436883;"OLB";"LIEO";77;5408;5
"Palermo";2001;7;3226;-9.78747203579418;513;1.78571428571429;333;-2.91545189504373;3739;-8.3578431372549;201;59.5238095238095;3940;-6.32429862101759;1646576;2.4805177750213;210867;-4.2675480212651;162316;-7.43946807176013;15657;13.5552654482158;1873100;1.75599855713025;1126;29.8731257208766;"PMO";"LICJ";67;7938;5
"Perugia";2001;7;241;1.68776371308017;25;92.3076923076923;19;90;266;6.4;746;-2.0997375328084;1012;0;16411;-7.18810089356408;16440;37.5732217573222;11021;18.9273767130679;7;-82.9268292682927;32858;10.7336635999056;1315;-4.50254175744372;"PEG";"LIRZ";74;50;1
"Pescara";2001;7;167;-39.4927536231884;170;129.72972972973;120;445.454545454545;337;-3.71428571428571;279;-42.3553719008264;616;-26.1390887290168;37222;-30.5702187983809;38747;357.623715601748;33146;1144.21921921922;166;0;76135;22.6440929153645;3091;-24.2030407062285;"PSR";"LIBP";66;162;2
"Pisa";2001;7;1004;3.71900826446281;1201;21.4357937310415;0;0;2205;12.6724578436382;538;41.5789473684211;2743;17.3727000427899;327522;-1.26641806567528;455645;32.2005326958005;0;0;6818;17.2283356258597;789985;15.7994491359585;3765;16.7803970223325;"PSA";"LIRP";66;11552;6
"Reggio Calabria";2001;7;622;7.24137931034483;0;0;0;0;622;7.24137931034483;0;0;622;7.24137931034483;289679;-10.8669029772674;0;0;0;0;0;0;289679;-10.8669029772674;0;0;"REG";"LICR";76;72;1
"Rimini";2001;7;7;0;310;-17.989417989418;191;-17.6724137931034;317;-16.1375661375661;275;5.76923076923077;592;-7.21003134796238;1719;-56.3705583756345;131940;4.1571277452358;86516;2.34340805583486;5255;-17.7749960882491;138914;1.3933798036568;1906;7.68361581920904;"RMI";"LIPR";70;18;1
"Roma Ciampino";2001;7;322;-34.2857142857143;866;-0.115340253748558;652;3.82165605095541;1188;-12.4539425202653;1655;13.9022711631108;2843;1.17437722419929;2312;-87.3661202185792;374455;-6.47299629593552;294438;-2.43677764818153;5573;-61.7790275015431;382340;-11.7511286733818;19811;8.82773016919358;"CIA";"LIRA";68;5000;5
"Roma Fiumicino";2001;7;13695;3.66361365528726;11904;-0.592901878914405;7674;0.695446791759612;25599;1.63979988882713;0;0;25599;1.63979988882713;7504355;2.01644230409766;7819843;4.46832836096857;4550922;8.33800322329533;256022;5.46996012259829;15580220;3.28874544463619;0;0;"FCO";"LIRF";74;219122;9
